?item	?itemLabel
Q1494208	Garfield Davies, Baron Davies of Coity
Q14942827	Adrian Poynings
Q1494468	Robert Maclennan, Baron Maclennan of Rogart
Q14945394	Henry George Allen
Q14945417	Robert Grosvenor, 1st Baron Ebury
Q14945419	Henry Edmonds
Q14945434	Sir Berkeley Guise, 2nd Baronet
Q14945472	Henry Wyndham West
Q14945475	Charles Wynne
Q14945476	Ryland Adkins
Q14945514	John Oglander
Q14945527	David Samuel, 3rd Viscount Samuel
Q14945619	Nicholas Duck
Q14945620	Harry Trelawney Eve
Q14945623	Nicholas Hyde
Q14945625	Henry Maden
Q14945676	William Bowen Rowlands
Q14945723	Henry Yorke Stanger
Q14945731	Henry Borlase
Q14945746	Michael Oldisworth
Q14945753	John Scudamore, 1st Viscount Scudamore
Q14946689	Ted Garrett
Q14946861	Hugh Hughes
Q14946890	Percy Molteno
Q14946953	John Lee
Q14948811	John Nicolson
Q14948913	Richard Davey
Q14948945	William Grant, Lord Grant
Q14948955	James Myles Hogge
Q14949006	John Potter
Q14949041	John Shiress Will
Q14949124	John Alfred Lush
Q14949160	Robert James McMordie
Q1502237	Genista McIntosh, Baroness McIntosh
Q1502637	Roy Kennedy, Baron Kennedy of Southwark
Q1502955	Geoffrey Cross, Baron Cross of Chelsea
Q1502976	Geoffrey Finsberg
Q1503016	Geoffrey Layton, 3rd Baron Layton
Q1503018	Geoffrey Lane, Baron Lane
Q1503024	Geoffrey Lofthouse, Baron Lofthouse of Pontefract
Q1503054	Geoffrey Tordoff, Baron Tordoff
Q15039914	Henry Maitland Clark
Q15039933	John George
Q15039947	Hugh Holmes
Q15039950	Henry Singer Keating
Q15039959	James Godfrey MacManaway
Q15039961	James Patrick Mahon
Q15040004	Stephen Woulfe
Q15047180	Maria Fyfe
Q15047465	John Sutherland
Q15052587	Herbert Dunnico
Q15054299	Anthony Greenwood, Baron Greenwood of Rossendale
Q15055971	Harold Davies, Baron Davies of Leek
Q15056719	Purcell O'Gorman
Q1506864	George Anson
Q1506865	George Anson
Q1506879	George Montgomerie, 15th Earl of Eglinton
Q1506930	George Balfour
Q15070089	Sir Frank Newnes, 2nd Baronet
Q15070130	John Pardoe
Q15070153	Alfred Broughton
Q15070175	John Evelyn
Q1507083	George Carew
Q1507209	George Delacourt-Smith, Baron Delacourt-Smith
Q15072586	James Ramsay Montagu Butler
Q15072591	James Bucknall Bucknall Estcourt
Q15072599	Lord Ernest Hamilton
Q15072603	John Robert Hollond
Q15072628	Arthur Walters Wills
Q15072653	Eubule Thelwall
Q1507346	George FitzClarence, 1st Earl of Munster
Q1507362	George Foulkes, Baron Foulkes of Cumnock
Q1507405	George Gavan Duffy
Q1507491	George Haig, 2nd Earl Haig
Q150767	Benjamin Britten
Q1507828	George Mackie, Baron Mackie of Benshie
Q1507835	George Magan, Baron Magan of Castletown
Q1507844	George Manners, 11th Baron de Ros
Q1507845	Rodney Leach, Baron Leach of Fairford
