?item	?membership	?term	?constituency	?party	?start	?election	?end	?cause	?event
Q16885512	Q60585908		Q60576226						
Q16885512	Q60585727		Q60576226						
Q16885525	Q60585857		Q60576202						
Q16885525	Q60586066		Q60576202						
Q16885535	Q60585665		Q60576230						
Q16885535	Q60585766		Q60576230						
Q16885540	Q60585857		Q60576230						
Q16885540	Q60586149		Q60576230						
Q16885563	Q60585811		Q60576230						
Q16886306	Q60585685		Q60576230						
Q16929530	Q60585685		Q60576170						
Q16929530	Q60585727		Q60576170						
Q16929530	Q60585670		Q60576170						
Q16929530	Q60585766		Q60576170						
Q16929530	Q60585668		Q60576201						
Q16937352	Q60585857		Q60576159						
Q16965713	Q60585766		Q60576098						
Q17103679	Q60585668		Q60576086						
Q17156016	Q60585665		Q60576071						
Q17180543	Q60585857		Q60576256						
Q17279282	Q60585727		Q60576110						
Q17279282	Q60585766		Q60576166						
Q17279312	Q60585727		Q60576110						
Q17279313	Q60585654		Q60576110						
Q17285712	Q60585665		Q60576110						
Q17285712	Q60585668		Q60576110						
Q17285720	Q60585665		Q60576085						
Q17285720	Q60585654		Q60576110						
Q17300025	Q60585766		Q60576110						
Q17300035	Q60585685		Q60576110						
Q17300035	Q60585766		Q60576110						
Q17300035	Q60585670		Q60576110						
Q17300037	Q60585685		Q60576110						
Q17300037	Q60585670		Q60576110						
Q17300041	Q60585665		Q60576085						
Q17300041	Q60585668		Q60576110						
Q17300041	Q60585811		Q60576119						
Q17300041	Q60585727		Q60576170						
Q17319097	Q60585857		Q60576110						
Q17319097	Q60585811		Q60576110						
Q17319097	Q60585908		Q60576110						
Q17388905	Q60585670		Q60576115						
Q17479127	Q60585670		Q60576127						
Q1788795	Q60585661		Q60576135						
Q1788795	Q60585664		Q60576135						
Q1788801	Q60585654		Q60576072						
Q1788801	Q60585652		Q60576113						
Q1790391	Q60586012		Q60576018						
Q1790391	Q60585766		Q60576252						
Q18379525	Q60585654		Q60576060						
Q18431417	Q60585685		Q60576094						
Q18431417	Q60585766		Q60578269						
Q18431417	Q60585727		Q60578269						
Q18527301	Q60585668		Q60576055						
Q18527301	Q60585654		Q60576055						
Q18527301	Q60585908		Q60576055						
Q18527301	Q60585857		Q60576055						
Q18527301	Q60585661		Q60576084						
Q18527301	Q60585664		Q60576084						
Q18527301	Q60585665		Q60576084						
Q18527570	Q60585654		Q60578262						
Q18528483	Q60585670		Q60576030						
Q18528483	Q60585811		Q60576030						
Q18528483	Q60585962		Q60576030						
Q18529042	Q60585670		Q60576010						
Q18531374	Q60585661		Q60576181						
Q18531374	Q60585668		Q60576181						
Q18531374	Q60585685		Q60576181						
Q18531495	Q60585766		Q60576180						
Q18531495	Q60585811		Q60576180						
Q18531495	Q60585857		Q60576180						
Q18531530	Q60585668		Q60576138						
Q18576069	Q60585654		Q60576118						
Q18576069	Q60585646		Q60578270						
Q18576498	Q60585685		Q60576054						
Q18576498	Q60585811		Q60576054						
Q18576881	Q60585908		Q60576186						
Q18576881	Q60585668		Q60576211						
Q18576955	Q60585652		Q60576080						
Q18576955	Q60585664		Q60576091						
Q18576955	Q60585661		Q60576091						
Q18576955	Q60585656		Q60576091						
Q18576955	Q60585654		Q60576091						
Q18670773	Q60585661		Q60576033						
Q18670773	Q60585664		Q60576033						
Q18671196	Q60585811		Q60576113						
Q18671196	Q60585908		Q60576113						
Q18671196	Q60585727		Q60576113						
Q18671196	Q60585670		Q60576113						
Q18671196	Q60585962		Q60576113						
Q18671507	Q60585857		Q60576065						
Q18671507	Q60585811		Q60576065						
Q18671507	Q60585766		Q60576065						
Q18671507	Q60585670		Q60576065						
Q18671507	Q60585727		Q60576065						
Q18671507	Q60585908		Q60576169						
Q18672013	Q60585811		Q60576019						
Q18672013	Q60585685		Q60578265						
Q18672013	Q60585908		Q60578265						
Q18672013	Q60586012		Q60578265						
Q18672013	Q60585670		Q60578265						
Q18672013	Q60585727		Q60578265						
Q18672013	Q60585857		Q60578265						
Q18672013	Q60585962		Q60578265						
Q18672013	Q60586066		Q60578265						
Q18672013	Q60585668		Q60578270						
Q18673945	Q60585668		Q60576084						
Q18674264	Q60585654		Q60576087						
Q18674401	Q60585664		Q60576117						
Q18674401	Q60585665		Q60576117						
Q18674401	Q60585668		Q60576117						
Q187173	Q60585668		Q60576062						
Q18756915	Q60585654		Q60576195						
Q18759320	Q60585661		Q60576059						
Q18759320	Q60585664		Q60576059						
Q18759320	Q60585654		Q60576059						
Q18819389	Q60585665		Q60576169						
Q18819389	Q60585668		Q60576169						
Q18819533	Q60585670		Q60576114						
Q18819533	Q60585685		Q60576191						
Q18917320	Q60585654		Q60578251						
Q18917694	Q60585766		Q60576213						
Q18917694	Q60585727		Q60576213						
Q18917694	Q60586066		Q60576213						
Q18922333	Q60585664		Q60576135						
Q18954665	Q60585654		Q60578274						
Q19278847	Q60585727		Q60576202						
Q19325189	Q60585727		Q60576067						
Q19502435	Q60585668		Q60576227						
Q19605250	Q60585632		Q60576180						
Q19605250	Q60585635		Q60576180						
Q19605250	Q60585646		Q60576180						
Q19654707	Q60585727		Q60576046						
Q19660980	Q60585654		Q60576106						
Q19660989	Q60585654		Q60576106						
Q19660990	Q60585664		Q60576106						
Q19660990	Q60585766		Q60576106						
Q19660992	Q60585857		Q60576106						
Q19660993	Q60585811		Q60576106						
Q19661007	Q60585811		Q60576034						
Q19661007	Q60585857		Q60576034						
Q19661007	Q60585664		Q60576106						
Q19661008	Q60585857		Q60576106						
Q19661008	Q60586066		Q60576108						
Q19661022	Q60585685		Q60576106						
Q19661067	Q60585766		Q60576106						
Q19661067	Q60585668		Q60576106						
Q19661067	Q60585727		Q60576106						
Q19661067	Q60585857		Q60576239						
Q19661161	Q60585670		Q60576106						
Q19661161	Q60585811		Q60576149						
Q19661161	Q60585962		Q60578270						
Q19875014	Q60585670		Q60576055						
Q19959985	Q60585857		Q60576019						
Q19959985	Q60585685		Q60576219						
Q19959985	Q60585766		Q60576219						
Q19959985	Q60585727		Q60576219						
Q19959985	Q60586012		Q60576219						
Q19959985	Q60585670		Q60576219						
Q19959985	Q60585962		Q60576219						
Q19959985	Q60585811		Q60595404						
Q19959985	Q60585908		Q60595404						
Q19959986	Q60585811		Q60576219						
Q19959986	Q60585908		Q60576219						
Q20127841	Q60585654		Q60576090						
Q2044691	Q60585668		Q60578252						
Q2044691	Q60586012		Q60578269						
Q2054032	Q60585632		Q60576143						
Q2054032	Q60585635		Q60576143						
Q2054032	Q60585646		Q60576143						
Q2054032	Q60585652		Q60576143						
Q2054032	Q60576928		Q60576143						
Q2058500	Q60585908		Q60576157						
Q2058500	Q60585811		Q60576176						
Q2058500	Q60585685		Q60576176						
Q2058500	Q60585962		Q60576204						
Q2058500	Q60585668		Q60576219						
Q2058500	Q60586149		Q60576232						
Q20639110	Q60585668		Q60576162						
Q20687608	Q60585685		Q60576095						
Q20711548	Q60585811		Q60578259						
Q20711548	Q60585685		Q60578259						
Q20711548	Q60585727		Q60578259						
Q20711548	Q60585670		Q60578259						
Q20713228	Q60585654		Q60576090						
Q20713524	Q60585661		Q60576090						
Q2077157	Q60585668		Q60576024						
Q2077157	Q60585670		Q60576062						
Q2077157	Q60586012		Q60576062						
Q2077157	Q60586066		Q60576062						
Q2077157	Q60585962		Q60576062						
Q2078204	Q60585661		Q60576143						
Q20810950	Q60585654		Q60576067						
Q2084556	Q60585665		Q60578256						
Q2084556	Q60585668		Q60578256						
Q20878116	Q60585661		Q60576090						
Q20979673	Q60585665		Q60576090						
Q20979673	Q60585727		Q60576118						
Q20979673	Q60585685		Q60576139						
Q21010828	Q60585664		Q60578274						
Q21010828	Q60585665		Q60578274						
Q21030588	Q60585811		Q60576090						
Q21061968	Q60585665		Q60576090						
Q21062053	Q60585685		Q60576090						
Q21062055	Q60585668		Q60576090						
Q21062072	Q60585685		Q60576090						
Q21062072	Q60585727		Q60576090						
Q21062072	Q60585857		Q60576090						
Q21062072	Q60585962		Q60576090						
Q21062073	Q60585766		Q60576090						
Q21062073	Q60585727		Q60576090						
Q21062073	Q60585668		Q60576093						
Q21062073	Q60585654		Q60576121						
Q21062073	Q60585811		Q60578268						
Q21062074	Q60585857		Q60576090						
Q21246058	Q60585766		Q60576055						
Q21246058	Q60585727		Q60576055						
Q21281143	Q60585661		Q60576055						
Q21369023	Q60585727		Q60576025						
Q21369097	Q60585766		Q60578256						
Q21369097	Q60585685		Q60578256						
Q21592170	Q60585668		Q60576109						
Q21592170	Q60585908		Q60576109						
Q21592170	Q60586012		Q60576109						
Q21592170	Q60585962		Q60576109						
Q21592170	Q60585857		Q60576109						
Q21592170	Q60586066		Q60576109						
Q21592170	Q60585685		Q60576247						
Q21592317	Q60585668		Q60576109						
Q21592529	Q60585661		Q60576109						
Q21592529	Q60585665		Q60576109						
Q21592529	Q60585654		Q60576109						
Q21592529	Q60585908		Q60576109						
Q21592529	Q60585727		Q60576109						
Q21592529	Q60585857		Q60576109						
Q2161790	Q60585908		Q60576176						
Q2161790	Q60586012		Q60576176						
Q2161790	Q60585857		Q60576176						
Q2161790	Q60585962		Q60576176						
Q2161790	Q60586066		Q60576176						
Q2161790	Q60585811		Q60576177						
Q2168348	Q60585668		Q60576189						
Q21856725	Q60585664		Q60576214						
Q21934131	Q60585857		Q60576148						
Q21999751	Q60585665		Q60576216						
Q22000507	Q60585668		Q60576025						
Q22000507	Q60585908		Q60576037						
Q22000675	Q60585727		Q60576037						
Q22000675	Q60585670		Q60576126						
Q22000675	Q60585668		Q60576240						
Q22000675	Q60585766		Q60578265						
Q22000675	Q60585908		Q60578265						
Q22000675	Q60585962		Q60578265						
Q22000675	Q60585811		Q60578265						
Q22000675	Q60585857		Q60578265						
Q22001123	Q60585857		Q60576037						
Q22001123	Q60586151		Q60576070						
Q22001217	Q60585811		Q60576133						
Q22001217	Q60585670		Q60576184						
Q22001217	Q60585962		Q60576184						
Q22001219	Q60585727		Q60576114						
Q22087323	Q60585632		Q60578265						
Q22087323	Q60576928		Q60578265						
Q22312897	Q60585766		Q60576037						
Q22312897	Q60585811		Q60576123						
Q22312903	Q60585811		Q60576037						
Q22336782	Q60585811		Q60576191						
Q22336782	Q60585908		Q60576258						
Q22336783	Q60585670		Q60576126						
Q22336783	Q60585668		Q60576126						
Q22336783	Q60585962		Q60576141						
Q22336785	Q60585908		Q60576126						
Q22336785	Q60585668		Q60576132						
Q22336813	Q60585685		Q60576079						
Q22336813	Q60585766		Q60576079						
Q22336813	Q60585727		Q60576079						
Q22336813	Q60585908		Q60576142						
Q22336813	Q60585962		Q60576198						
Q22336813	Q60585857		Q60578264						
Q22336813	Q60585668		Q60578273						
Q22336814	Q60585665		Q60576109						
Q22336819	Q60585661		Q60576109						
Q22336819	Q60585685		Q60576109						
Q22336820	Q60585664		Q60576109						
Q22336821	Q60585766		Q60576109						
Q22336821	Q60585670		Q60576109						
Q22336822	Q60585962		Q60576063						
Q22336822	Q60585668		Q60576090						
Q22336852	Q60585664		Q60578270						
Q22336856	Q60585766		Q60576109						
Q22336856	Q60585685		Q60576109						
Q22336856	Q60585811		Q60576109						
Q22336856	Q60585727		Q60576109						
Q22336858	Q60585811		Q60576109						
Q22336861	Q60585632		Q60576109						
Q22336861	Q60585652		Q60576109						
Q22336862	Q60585766		Q60576126						
